,0
altitude,420.6678453796
daynum,2459616.4586458
footprint,4510.8595985864
id,25544
latitude,-7.5187596183491
longitude,139.32020836937
name,iss
solar_lat,-15.700057016458
solar_lon,198.39506713377
timestamp,1644102027
units,kilometers
velocity,27571.989083663
velocityNew,4.759008031807484
visibility,daylight
